Company,Title,Description,Location,Application Link,Source,Scraped At
State Street,State Street Investment Management Intern - IT Architecture Database Engineering,,"Quincy, MA",https://statestreet.wd1.myworkdayjobs.com/Global/job/Quincy-Massachusetts/State-Street-Investment-Management---IT-Architecture-Database-Engineering---Summer-Internship-2026_R-782326?utm_source=Simplify&ref=Simplify,pittcsc/Summer2026-Internships,2026-03-28T23:06:00.795Z
ASM International,Software Engineering Intern - Summer 2026,,"Mt Laurel Township, NJ",https://www.asm.com/open-vacancies/?gh_jid=4742577101&utm_source=Simplify&ref=Simplify,pittcsc/Summer2026-Internships,2026-03-28T23:06:00.795Z
TD Bank,2026 Summer Internship Program - Platforms & Technology - Software Engineer,,"Mt Laurel Township, NJ",https://td.wd3.myworkdayjobs.com/TD_Bank_Careers/job/Mount-Laurel-New-Jersey/XMLNAME-2026-Summer-Internship-Program---Platforms---Technology---Software-Engineer_R_1464236-1?utm_source=Simplify&ref=Simplify,pittcsc/Summer2026-Internships,2026-03-28T23:06:00.795Z
GlobalFoundries,Product Management Intern - Ultra Low Power CMOS - Summer 2026,,"Austin, TX",https://globalfoundries.wd1.myworkdayjobs.com/External/job/USA---Texas---Austin/Product-Management-Intern--Ultra-Low-Power-CMOS--Summer-2026-_JR-2502845?utm_source=Simplify&ref=Simplify,pittcsc/Summer2026-Internships,2026-03-28T23:06:00.807Z
Velera,Intern – Product Manager - Engage Point,,Remote in USA,https://velera.wd5.myworkdayjobs.com/VeleraCareers/job/Remote-USA/Intern---Product-Manager---Engage-Point_8851?utm_source=Simplify&ref=Simplify,pittcsc/Summer2026-Internships,2026-03-28T23:06:00.807Z
State Street,State Street Investment Management – Summer Internship 2026 - Data Scientist,,"Quincy, MA",https://statestreet.wd1.myworkdayjobs.com/Global/job/Quincy-Massachusetts/State-Street-Investment-Management---Data-Scientist----Summer-Internship-2026_R-782327?utm_source=Simplify&ref=Simplify,pittcsc/Summer2026-Internships,2026-03-28T23:06:00.814Z
TD Bank,2026 Summer Internship Program - Platforms & Technology - Data Engineer,,"Mt Laurel Township, NJ",https://td.wd3.myworkdayjobs.com/TD_Bank_Careers/job/Mount-Laurel-New-Jersey/XMLNAME-2026-Summer-Internship-Program---Platforms---Technology---Data-Engineer_R_1464257?utm_source=Simplify&ref=Simplify,pittcsc/Summer2026-Internships,2026-03-28T23:06:00.814Z
TD Bank,Intern - Platforms & Technology - Data Analyst,,"Mt Laurel Township, NJ",https://td.wd3.myworkdayjobs.com/TD_Bank_Careers/job/Mount-Laurel-New-Jersey/XMLNAME-2026-Summer-Internship-Program---Platforms---Technology---Data-Analyst_R_1462567?utm_source=Simplify&ref=Simplify,pittcsc/Summer2026-Internships,2026-03-28T23:06:00.814Z
TD Bank,2026 Summer Internship Program - Platforms & Technology - Business Systems Analyst,,"Mt Laurel Township, NJ",https://td.wd3.myworkdayjobs.com/TD_Bank_Careers/job/Mount-Laurel-New-Jersey/XMLNAME-2026-Summer-Internship-Program---Platforms---Technology---Business-Systems-Analyst_R_1462499?utm_source=Simplify&ref=Simplify,pittcsc/Summer2026-Internships,2026-03-28T23:06:00.814Z
Public Service Enterprise Group,Summer 2026,,"Newark, NJ",https://jobs.pseg.com/job/Newark-Summer-2026-Staff-Intern-Market-&-Trading-Operations-Risk-Team-NJ-07101/1352382100/?ats=successfactors&utm_source=Simplify&ref=Simplify,pittcsc/Summer2026-Internships,2026-03-28T23:06:00.826Z
MSX International,Analytics Intern,,"Southfield, MI",https://jobs.smartrecruiters.com/MSXInternational/3743990012354026?utm_source=Simplify&ref=Simplify,SimplifyJobs/Summer2026-Internships,2026-03-28T23:06:00.883Z
KBR,Mission Technology Solutions – Win/Loss Intelligence & Data Analytics Intern,,"Washington, DCSan Diego, CA",https://kbr.wd5.myworkdayjobs.com/KBR_Careers/job/San-Diego-California/Mission-Technology-Solutions--MTS----Win-Loss-Intelligence---Data-Analytics-Intern_R2121065?utm_source=Simplify&ref=Simplify,SimplifyJobs/Summer2026-Internships,2026-03-28T23:06:00.883Z
ChampionX,Intern,,"Knoxville, TN",https://championx.wd1.myworkdayjobs.com/championx_external/job/USA---Tennessee---Knoxville/Intern_R00135420?utm_source=Simplify&ref=Simplify,SimplifyJobs/Summer2026-Internships,2026-03-28T23:06:00.887Z
Microchip Technology,Intern - Engineer,,"Boulder, CO",https://wd5.myworkdaysite.com/recruiting/microchiphr/External/job/CO---Boulder/Intern---Engineer_R983-26?utm_source=Simplify&ref=Simplify,SimplifyJobs/Summer2026-Internships,2026-03-28T23:06:00.887Z
Ryan Specialty,Technology Development Intern,,"Chicago, ILCarmel, IN",https://ryansg.wd5.myworkdayjobs.com/en-US/Ryan_Specialty_Career_Site/job/Chicago---Illinois---Wacker/Technology-Development-Intern_JR25-3790-1?utm_source=Simplify&ref=Simplify,pittcsc/Summer2026-Internships (Off-Season),2026-03-28T23:22:44.446Z
Trane Technologies,Business Systems Analyst Intern,,"Winona, MN",https://careers.tranetechnologies.com/global/en/job/2507347?utm_source=Simplify&ref=Simplify,pittcsc/Summer2026-Internships (Off-Season),2026-03-28T23:22:44.446Z
Nutanix,Software Engineering Intern - Undergrad ONLY - Distributed systems,,"San Jose, CA",https://jobs.jobvite.com/nutanix/job/oCZfyfw8?nl=1&nl=1&fr=false&utm_source=Simplify&ref=Simplify,pittcsc/Summer2026-Internships (Off-Season),2026-03-28T23:22:44.446Z
Archer,Integrated Test – Software Tools Intern,,"San Jose, CA",https://job-boards.greenhouse.io/archer56/jobs/7574272003?utm_source=Simplify&ref=Simplify,pittcsc/Summer2026-Internships (Off-Season),2026-03-28T23:22:44.458Z
Micron Technology,Intern – SIG Software Design,,"Boise, ID",https://micron.wd1.myworkdayjobs.com/External/job/Boise-ID---SIG-Building/Intern---SIG-Software-Design_JR87619?utm_source=Simplify&ref=Simplify,pittcsc/Summer2026-Internships (Off-Season),2026-03-28T23:22:44.458Z
